timestamp,message,trigger,priority,lap_number
1772536971.233867,"Tires at 20 degrees, fine for now. Fuel sufficient for 59.8L, no need for pit stop.",driver_query,2,0
1772537043.3224342,"MI system activated, ready for deployment.",driver_query,2,0
1772537266.5836499,Front and center damage at 15%.,driver_query,2,0
1772538127.7068603,"Front and rear damage at 61% and 37%, respectively.",driver_query,2,2
1772539081.5339894,"No car damage, tires at 13-14°C, 60L fuel remaining.",driver_query,2,3
1772539200.9468787,"Tire temps are 23°C front, 26°C rear, within normal range.",driver_query,2,3
1772539217.7752762,"No need to pit stop, tires fine.",driver_query,2,3
1772539521.261126,"No car damage, tires at optimal temps.",driver_query,2,3
1772539536.6932724,"Car has moderate damage, mainly at the rear and left sides.",driver_query,2,3
1772539720.9783542,"No need to pit stop yet, tires and fuel are fine.",driver_query,2,3
1772539997.2951849,Pit stop at end of this lap for tire strategy.,driver_query,2,3
1772540330.6131763,4-bit spinning likely due to low speed and grip imbalance. Maintain caution.,driver_query,2,3
1772540341.3132286,"Tires within safe range, lasts for more laps.",driver_query,2,3
